CustomerID,Recency,Frequency,Monetary,ActiveMonths,AverageOrderValue,HighValueOneTimeBuyer,Cluster,KMeansSegment,Segment
12346,325,1,77183.6,1,77183.6,True,4,Regular Buyers,High-Value One-Time Buyer
12347,2,7,4310.0,7,615.7142857142857,False,4,Regular Buyers,Regular Buyers
12348,75,4,1797.24,4,449.31,False,4,Regular Buyers,Regular Buyers
12349,18,1,1757.55,1,1757.55,False,2,Recent Low-Engagement,Recent Low-Engagement
12350,310,1,334.4,1,334.4,False,0,Dormant Customers,Dormant Customers
12352,36,8,2506.04,4,313.255,False,4,Regular Buyers,Regular Buyers
12353,204,1,89.0,1,89.0,False,0,Dormant Customers,Dormant Customers
12354,232,1,1079.4,1,1079.4,False,0,Dormant Customers,Dormant Customers
12355,214,1,459.4,1,459.4,False,0,Dormant Customers,Dormant Customers
12356,22,3,2811.43,3,937.1433333333333,False,4,Regular Buyers,Regular Buyers
12357,33,1,6207.67,1,6207.67,True,2,Recent Low-Engagement,High-Value One-Time Buyer
12358,1,2,1168.06,2,584.03,False,2,Recent Low-Engagement,Recent Low-Engagement
12359,57,4,6372.58,4,1593.145,False,4,Regular Buyers,Regular Buyers
12360,52,3,2662.06,3,887.3533333333334,False,4,Regular Buyers,Regular Buyers
12361,287,1,189.9,1,189.9,False,0,Dormant Customers,Dormant Customers
12362,3,10,5226.23,8,522.6229999999999,False,1,High-Value & Active,High-Value & Active
12363,109,2,552.0,2,276.0,False,2,Recent Low-Engagement,Recent Low-Engagement
12364,7,4,1313.1,4,328.275,False,4,Regular Buyers,Regular Buyers
12365,291,2,641.38,1,320.69,False,0,Dormant Customers,Dormant Customers
12367,4,1,168.9,1,168.9,False,3,,
12370,51,4,3545.69,3,886.4225,False,4,Regular Buyers,Regular Buyers
12371,44,2,1887.96,1,943.98,False,2,Recent Low-Engagement,Recent Low-Engagement
12372,71,3,1298.04,3,432.68,False,2,Recent Low-Engagement,Recent Low-Engagement
12373,311,1,364.6,1,364.6,False,0,Dormant Customers,Dormant Customers
12374,25,1,742.9300000000001,1,742.9300000000001,False,2,Recent Low-Engagement,Recent Low-Engagement
12375,10,2,457.5,2,228.75,False,2,Recent Low-Engagement,Recent Low-Engagement
12377,315,2,1628.12,2,814.06,False,0,Dormant Customers,Dormant Customers
12378,129,1,4008.62,1,4008.62,True,2,Recent Low-Engagement,High-Value One-Time Buyer
12379,81,2,852.24,2,426.12,False,2,Recent Low-Engagement,Recent Low-Engagement
12380,21,4,2724.81,4,681.2025,False,4,Regular Buyers,Regular Buyers
12381,4,5,1845.31,4,369.062,False,4,Regular Buyers,Regular Buyers
12383,184,5,1850.56,5,370.11199999999997,False,4,Regular Buyers,Regular Buyers
12384,28,2,585.27,2,292.635,False,2,Recent Low-Engagement,Recent Low-Engagement
12386,337,2,401.9,2,200.95,False,0,Dormant Customers,Dormant Customers
12388,15,6,2780.66,6,463.4433333333333,False,4,Regular Buyers,Regular Buyers
12390,79,1,549.84,1,549.84,False,3,,
12391,21,1,460.89,1,460.89,False,3,,
12393,72,4,1582.6000000000001,3,395.65000000000003,False,4,Regular Buyers,Regular Buyers
12394,63,2,1272.48,2,636.24,False,2,Recent Low-Engagement,Recent Low-Engagement
12395,19,12,3018.63,8,251.5525,False,1,High-Value & Active,High-Value & Active
12397,35,2,2409.9,2,1204.95,False,2,Recent Low-Engagement,Recent Low-Engagement
12398,45,1,1635.6599999999999,1,1635.6599999999999,False,2,Recent Low-Engagement,Recent Low-Engagement
12399,119,4,1108.65,4,277.1625,False,2,Recent Low-Engagement,Recent Low-Engagement
12401,303,1,84.3,1,84.3,False,0,Dormant Customers,Dormant Customers
12402,323,1,225.6,1,225.6,False,0,Dormant Customers,Dormant Customers
12403,49,1,427.7,1,427.7,False,3,,
12405,148,1,1710.39,1,1710.39,False,2,Recent Low-Engagement,Recent Low-Engagement
12406,22,2,3415.3,2,1707.65,False,2,Recent Low-Engagement,Recent Low-Engagement
12407,49,5,1708.1200000000001,4,341.624,False,4,Regular Buyers,Regular Buyers
12408,32,5,2888.55,4,577.71,False,4,Regular Buyers,Regular Buyers
12409,78,3,11072.67,2,3690.89,False,4,Regular Buyers,Regular Buyers
12410,308,2,693.3299999999999,1,346.66499999999996,False,0,Dormant Customers,Dormant Customers
12412,74,3,1226.88,3,408.96000000000004,False,2,Recent Low-Engagement,Recent Low-Engagement
12413,66,3,758.1,3,252.70000000000002,False,2,Recent Low-Engagement,Recent Low-Engagement
12414,217,3,562.41,3,187.47,False,0,Dormant Customers,Dormant Customers
12415,24,21,124914.53,11,5948.310952380953,False,1,High-Value & Active,High-Value & Active
12417,3,9,3649.1,8,405.4555555555555,False,4,Regular Buyers,Regular Buyers
12418,112,1,668.58,1,668.58,False,2,Recent Low-Engagement,Recent Low-Engagement
12420,63,1,600.39,1,600.39,False,3,,
12421,15,4,807.04,4,201.76,False,2,Recent Low-Engagement,Recent Low-Engagement
